字段,dtype,缺失数,缺失率,唯一值数,样例值
avg_cur_bal,float64,0,0.0,44941,20701.0 | 9733.0 | 31617.0 | 23192.0 | 27644.0
acc_open_past_24mths,float64,0,0.0,45,4.0 | 6.0 | 2.0 | 10.0 | 0.0
total_rev_hi_lim,float64,0,0.0,7423,9300.0 | 111800.0 | 14000.0 | 67300.0 | 34000.0
loan_amnt,float64,0,0.0,1358,3600.0 | 24700.0 | 20000.0 | 35000.0 | 10400.0
tot_cur_bal,float64,0,0.0,142050,144904.0 | 204396.0 | 189699.0 | 301500.0 | 331730.0
tot_coll_amt,float64,0,0.0,5739,722.0 | 0.0 | 8341.0 | 60.0 | 1830.0
acc_now_delinq,float64,0,0.0,6,0.0 | 1.0 | 2.0 | 4.0 | 3.0
addr_state,string,0,0.0,49,PA | SD | IL | NJ | GA
dti,float64,2,0.0,4083,5.91 | 16.06 | 10.78 | 17.06 | 25.37
delinq_2yrs,float64,0,0.0,20,0.0 | 1.0 | 2.0 | 3.0 | 4.0
application_type,string,0,0.0,2,Individual | Joint App
id,float64,0,0.0,200000,68407277.0 | 68355089.0 | 68341763.0 | 66310712.0 | 68476807.0
